Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
16,1.0,,,0,nan,True,0 days 00:01:33.625000
16,2.0,1.0,1.0,3337,ULTRASOFT,True,0 days 00:01:20.754000
16,3.0,1.0,2.0,6674,ULTRASOFT,True,0 days 00:01:20.066000
16,4.0,1.0,3.0,10011,ULTRASOFT,True,0 days 00:01:20.655000
16,5.0,1.0,4.0,13348,ULTRASOFT,True,0 days 00:01:19.857000
16,6.0,1.0,5.0,16685,ULTRASOFT,True,0 days 00:01:19.725000
16,7.0,1.0,6.0,20022,ULTRASOFT,True,0 days 00:01:20.310000
16,8.0,1.0,7.0,23359,ULTRASOFT,True,0 days 00:01:18.534000
16,9.0,1.0,8.0,26696,ULTRASOFT,True,0 days 00:01:18.619000
16,10.0,1.0,9.0,30033,ULTRASOFT,True,0 days 00:01:19.324000
16,11.0,1.0,10.0,33370,ULTRASOFT,True,0 days 00:01:21.270000
16,12.0,1.0,11.0,36707,ULTRASOFT,True,0 days 00:01:19.063000
16,13.0,1.0,12.0,40044,ULTRASOFT,True,0 days 00:01:19.134000
16,14.0,1.0,13.0,43381,ULTRASOFT,True,0 days 00:01:37.708000
16,15.0,2.0,1.0,3337,SUPERSOFT,True,0 days 00:01:20.856000
16,16.0,2.0,2.0,6674,SUPERSOFT,True,0 days 00:01:17.748000
16,17.0,2.0,3.0,10011,SUPERSOFT,True,0 days 00:01:17.710000
16,18.0,2.0,4.0,13348,SUPERSOFT,True,0 days 00:01:18.173000
16,19.0,2.0,5.0,16685,SUPERSOFT,True,0 days 00:01:18.471000
16,20.0,2.0,6.0,20022,SUPERSOFT,True,0 days 00:01:19.291000
16,21.0,2.0,7.0,23359,SUPERSOFT,True,0 days 00:01:18.600000
16,22.0,2.0,8.0,26696,SUPERSOFT,True,0 days 00:01:17.907000
16,23.0,2.0,9.0,30033,SUPERSOFT,True,0 days 00:01:18.184000
16,24.0,2.0,10.0,33370,SUPERSOFT,True,0 days 00:01:18.182000
16,25.0,2.0,11.0,36707,SUPERSOFT,True,0 days 00:01:18.577000
16,26.0,2.0,12.0,40044,SUPERSOFT,True,0 days 00:01:18.502000
16,27.0,2.0,13.0,43381,SUPERSOFT,True,0 days 00:01:19.314000
16,28.0,2.0,14.0,46718,SUPERSOFT,True,0 days 00:01:19.535000
16,29.0,2.0,15.0,50055,SUPERSOFT,True,0 days 00:01:19.998000
16,30.0,2.0,16.0,53392,SUPERSOFT,True,0 days 00:01:19.733000
16,31.0,2.0,17.0,56729,SUPERSOFT,True,0 days 00:01:19.438000
16,32.0,2.0,18.0,60066,SUPERSOFT,True,0 days 00:01:19.911000
16,33.0,2.0,19.0,63403,SUPERSOFT,True,0 days 00:01:20.028000
16,34.0,2.0,20.0,66740,SUPERSOFT,True,0 days 00:01:19.863000
16,35.0,2.0,21.0,70077,SUPERSOFT,True,0 days 00:01:20.280000
16,36.0,2.0,22.0,73414,SUPERSOFT,True,0 days 00:01:20.022000
16,37.0,2.0,23.0,76751,SUPERSOFT,True,0 days 00:01:19.662000
16,38.0,2.0,24.0,80088,SUPERSOFT,True,0 days 00:01:20.228000
16,39.0,2.0,25.0,83425,SUPERSOFT,True,0 days 00:01:19.962000
16,40.0,2.0,26.0,86762,SUPERSOFT,True,0 days 00:01:19.966000
16,41.0,2.0,27.0,90099,SUPERSOFT,True,0 days 00:01:19.893000
16,42.0,2.0,28.0,93436,SUPERSOFT,True,0 days 00:01:19.926000
16,43.0,2.0,29.0,96773,SUPERSOFT,True,0 days 00:01:19.675000
16,44.0,2.0,30.0,100110,SUPERSOFT,True,0 days 00:01:19.920000
16,45.0,2.0,31.0,103447,SUPERSOFT,True,0 days 00:01:19.634000
16,46.0,2.0,32.0,106784,SUPERSOFT,True,0 days 00:01:19.512000
16,47.0,2.0,33.0,110121,SUPERSOFT,True,0 days 00:01:19.484000
16,48.0,2.0,34.0,113458,SUPERSOFT,True,0 days 00:01:19.434000
16,49.0,2.0,35.0,116795,SUPERSOFT,True,0 days 00:01:19.062000
16,50.0,2.0,36.0,120132,SUPERSOFT,True,0 days 00:01:19.306000
16,51.0,2.0,37.0,123469,SUPERSOFT,True,0 days 00:01:18.983000
16,52.0,2.0,38.0,126806,SUPERSOFT,True,0 days 00:01:19.016000
16,53.0,2.0,39.0,130143,SUPERSOFT,True,0 days 00:01:19.134000
16,54.0,2.0,40.0,133480,SUPERSOFT,True,0 days 00:01:18.610000
16,55.0,2.0,41.0,136817,SUPERSOFT,True,0 days 00:01:18.503000
16,56.0,2.0,42.0,140154,SUPERSOFT,True,0 days 00:01:18.510000
16,57.0,2.0,43.0,143491,SUPERSOFT,True,0 days 00:01:18.298000
16,58.0,2.0,44.0,146828,SUPERSOFT,True,0 days 00:01:18.690000
16,59.0,2.0,45.0,150165,SUPERSOFT,True,0 days 00:01:18.329000
16,60.0,2.0,46.0,153502,SUPERSOFT,True,0 days 00:01:18.084000
16,61.0,2.0,47.0,156839,SUPERSOFT,True,0 days 00:01:17.832000
16,62.0,2.0,48.0,160176,SUPERSOFT,True,0 days 00:01:18.228000
16,63.0,2.0,49.0,163513,SUPERSOFT,True,0 days 00:01:18.558000
16,64.0,2.0,50.0,166850,SUPERSOFT,True,0 days 00:01:19.002000
16,65.0,2.0,51.0,170187,SUPERSOFT,True,0 days 00:01:18.364000
16,66.0,2.0,52.0,173524,SUPERSOFT,True,0 days 00:01:18.300000
16,67.0,2.0,53.0,176861,SUPERSOFT,True,0 days 00:01:18.695000
16,68.0,2.0,54.0,180198,SUPERSOFT,True,0 days 00:01:19.497000
16,69.0,2.0,55.0,183535,SUPERSOFT,True,0 days 00:01:18.471000
16,70.0,2.0,56.0,186872,SUPERSOFT,True,0 days 00:01:18.517000
16,71.0,2.0,57.0,190209,SUPERSOFT,True,
